,mid,tag_1,tag_2,tag_3,tag_4,tag_5
49,2635177,วอลเลย์บอล,กีฬา,นักวอลเลย์บอล,ภาพยนตร์,วอลเลย์บอลไทย
50,231205,ถ้ำหลวง ขุนน้ำนางนอน,รายการข่าว,จังหวัดเชียงราย,ข่าวออนไลน์,วิทยาศาสตร์
51,3763386,ดูดวง,หมอดู,ศาสนาพุทธ,อาหารบุฟเฟ่ต์,อาหารญี่ปุ่น
52,3663351,ความรักวัยรุ่น,ปัญหาความรัก,การศึกษา,ปัญหาวัยรุ่น,การเรียน
53,4379835,การ์ตูนการเมือง,การเมือง,รัฐบาล,ปัญหาสังคม,การเมืองท้องถิ่น
54,4661612,การเมือง,รัฐบาล,นักการเมือง,พรรคการเมือง,การ์ตูนการเมือง
55,4671979,การเมือง,รัฐบาล,การ์ตูนการเมือง,ประชามติ,เลือกตั้ง
56,4012218,ปฏิบัติธรรม,วิปัสสนากรรมฐาน,มหาสติปัฏฐาน 4,พระไตรปิฎก,สมถกรรมฐาน
57,434867,TFEX (Thailand Future Exchange),Technical Analysis,หุ้น,การลงทุน,เครื่องใช้ไฟฟ้า
58,711730,หาเพื่อน,ความรักวัยรุ่น,ปัญหาความรัก,ความรักวัยทำงาน,เพลงสากล
59,3788130,วอลเลย์บอล,รายการข่าว,ถ้ำหลวง ขุนน้ำนางนอน,ข่าวออนไลน์,วิทยาศาสตร์
60,4107496,บุพเพสันนิวาส,ละครโทรทัศน์,ธนวรรธน์ วรรธนะภูติ (โป๊ป),ราณี แคมเปน (เบลล่า),BEC (ช่อง 3)
61,3949931,ศาสนาพุทธ,ปฏิบัติธรรม,พระไตรปิฎก,มหาสติปัฏฐาน 4,วิปัสสนากรรมฐาน
62,3211913,กอล์ฟ,เชียร์สด,ศาสนาพุทธ,ปฏิบัติธรรม,ศาสนา
63,157385,แต่งกลอน,แต่งเรื่องสั้น,แต่งนิยาย,ฟุตบอล,นักเขียนหนังสือ
64,2808649,ฟุตบอล,ฟุตบอลต่างประเทศ,วิทยาศาสตร์,อาวุธยุทโธปกรณ์,ฟุตบอลโลก 2018
65,4549145,การ์ตูนการเมือง,แต่งกลอน,แต่งเรื่องสั้น,การเมือง,การเมืองท้องถิ่น
66,179922,BNK48,ฟุตบอลต่างประเทศ,นักร้องนักดนตรีหญิง,สโมสรฟุตบอลอังกฤษ,Premier League (League)
67,1057229,,,,,
68,4668416,การเมือง,การ์ตูนการเมือง,การเมืองท้องถิ่น,นักการเมือง,รัฐบาล
