,0,1,2,3,4,5,mid
132,sinthorn,380,supachalasai,97,silom,4,1101259
133,sinthorn,268,silom,9,lumpini,2,3181438
134,tvshow,234,region,132,wahkor,131,154811
135,sinthorn,816,silom,45,food,36,51273
136,supachalasai,307,tvshow,3,sinthorn,2,3933498
137,siam,173,isolate,169,bangrak,89,3954471
138,jatujak,258,gallery,7,region,6,1313900
139,rajdumnern,253,library,3,sinthorn,2,710499
140,siam,214,social,164,bangrak,146,603942
141,tvshow,61,siam,3,beauty,3,709736
142,0,0,0,0,0,0,504363
143,chalermkrung,76,isolate,43,religious,36,4375086
144,sinthorn,208,library,65,social,52,433385
145,sinthorn,244,social,1,ratchada,1,580159
146,supachalasai,65,bangrak,57,siam,55,4308661
147,social,212,klaibann,209,ratchada,199,727122
148,tvshow,218,region,13,wahkor,12,147116
149,rajdumnern,430,library,6,silom,1,4368195
150,religious,205,horoscope,30,siam,20,3833826
151,religious,134,rajdumnern,41,social,17,143120
152,tvshow,183,beauty,8,blueplanet,3,356991
153,tvshow,197,supachalasai,127,social,16,188794
154,food,82,blueplanet,44,mbk,39,4019363
155,home,80,wahkor,65,siliconvalley,63,858081
156,lumpini,134,wahkor,66,family,36,401318
157,supachalasai,289,lumpini,26,beauty,12,544382
158,rajdumnern,137,0,0,0,0,3339513
159,isolate,405,tvshow,378,wahkor,21,703744
160,bangrak,239,ratchada,198,siam,140,1595
161,ratchada,58,blueplanet,56,camera,14,272283
162,bangrak,203,siam,107,tvshow,95,4287722
163,tvshow,458,chalermkrung,30,silom,23,278777
164,klaibann,284,ratchada,211,blueplanet,82,1511167
165,tvshow,347,korea,34,chalermkrung,27,4053831
166,siam,1,bangrak,1,0,0,478854
167,tvshow,112,social,101,wahkor,94,582604
168,jatujak,476,home,39,wahkor,34,414981
169,sinthorn,426,isolate,108,social,60,425846
170,rajdumnern,272,supachalasai,31,region,7,4665693
171,bangrak,356,siam,181,beauty,62,402290
172,tvshow,221,library,166,blueplanet,157,198587
173,sinthorn,340,supachalasai,14,horoscope,2,277209
174,ratchada,260,jatujak,51,social,30,2854971
175,tvshow,140,blueplanet,15,region,10,1159344
176,mbk,67,isolate,64,tvshow,44,947878
177,tvshow,504,wahkor,333,region,325,2099550
178,bangrak,108,siam,86,isolate,81,4668581
179,ratchada,407,social,115,supachalasai,89,623267
180,blueplanet,62,0,0,0,0,3578
181,isolate,570,chalermthai,149,chalermkrung,48,250221
182,rajdumnern,161,blueplanet,13,social,10,4670497
183,food,80,tvshow,29,blueplanet,22,834403
184,sinthorn,377,blueplanet,67,gallery,9,240824
185,rajdumnern,14,0,0,0,0,4667636
186,supachalasai,72,tvshow,55,wahkor,47,3728518
187,sinthorn,487,tvshow,20,silom,18,514135
188,sinthorn,645,food,56,social,50,790855
189,supachalasai,145,gallery,82,chalermthai,81,641461
190,silom,212,social,153,sinthorn,48,2992959
191,tvshow,647,chalermkrung,19,social,15,36587
192,sinthorn,318,siam,121,social,29,434231
193,horoscope,281,siam,8,bangrak,7,601583
194,sinthorn,699,social,40,silom,36,525278
195,supachalasai,119,tvshow,54,siliconvalley,50,284525
196,bangrak,324,siam,141,social,48,4640352
197,korea,181,tvshow,36,chalermkrung,13,4673609
198,isolate,41,siam,34,tvshow,17,436977
199,supachalasai,70,chalermthai,1,library,1,3835471
200,siliconvalley,238,isolate,61,mbk,55,2275804
201,sinthorn,310,blueplanet,2,art,2,584442
202,korea,216,isolate,25,chalermkrung,12,1279505
203,writer,342,library,93,theoldsiam,34,90613
204,food,214,bangrak,66,lumpini,51,1855823
205,isolate,222,tvshow,146,korea,5,4322085
206,tvshow,188,chalermthai,27,korea,16,1554389
207,beauty,1,0,0,0,0,1652502
208,tvshow,178,social,128,rajdumnern,81,4275558
209,tvshow,231,supachalasai,3,chalermthai,2,202186
210,0,0,0,0,0,0,819849
211,wahkor,268,blueplanet,225,isolate,50,515222
212,rajdumnern,192,social,4,0,0,2868871
213,mbk,103,siliconvalley,94,social,41,1946446
214,sinthorn,114,siliconvalley,90,social,77,440463
215,sinthorn,403,silom,29,social,29,720408
216,sinthorn,360,silom,22,social,12,648552
217,siliconvalley,246,wahkor,34,sinthorn,28,3980485
218,tvshow,299,supachalasai,243,wahkor,183,344005
219,ratchada,215,social,37,mbk,22,1457
220,lumpini,23,beauty,4,food,3,4540522
221,religious,157,library,71,bangrak,11,4659978
222,food,52,supachalasai,34,social,32,590627
223,sinthorn,254,ratchada,2,social,1,504782
224,sinthorn,148,social,2,silom,2,1468927
225,sinthorn,547,supachalasai,8,siliconvalley,3,4436365
226,supachalasai,152,siliconvalley,9,mbk,8,185554
227,supachalasai,160,library,126,siam,21,123377
228,sinthorn,538,silom,22,beauty,20,405573
229,rajdumnern,339,social,38,library,2,897815
230,rajdumnern,14,0,0,0,0,1731706
231,sinthorn,239,silom,35,social,25,4116437
232,rajdumnern,164,social,46,home,42,4195316
233,korea,119,supachalasai,110,tvshow,43,4253640
234,siam,3,0,0,0,0,596531
235,cartoon,158,wahkor,48,chalermthai,24,4648240
236,tvshow,13,chalermkrung,4,supachalasai,1,1059017
237,jatujak,344,lumpini,8,siliconvalley,3,324176
238,sinthorn,534,silom,18,social,14,3478394
239,tvshow,1,siliconvalley,1,0,0,646256
240,tvshow,34,supachalasai,25,religious,1,899204
241,wahkor,162,ratchada,139,tvshow,127,46373
242,sinthorn,163,silom,10,bangrak,9,1198906
243,supachalasai,266,tvshow,107,region,9,4395638
244,bangrak,162,siam,71,social,24,1602243
245,social,288,silom,173,sinthorn,171,2897295
246,tvshow,463,korea,28,chalermthai,10,634403
247,rajdumnern,434,social,8,sinthorn,8,4157047
248,social,154,siam,130,bangrak,85,725853
249,bangrak,458,siam,176,family,129,3016386
250,supachalasai,225,ratchada,65,library,55,268499
251,tvshow,153,korea,145,chalermkrung,68,4547826
252,social,162,bangrak,65,siam,48,2639720
253,bangrak,85,siam,77,isolate,45,3941113
254,korea,468,supachalasai,115,chalermthai,50,4306957
255,0,0,0,0,0,0,672368
256,home,213,theoldsiam,213,social,139,4076312
257,siam,187,supachalasai,16,blueplanet,10,765734
258,horoscope,30,siam,4,religious,4,772600
259,bangrak,245,horoscope,169,social,120,676320
260,supachalasai,446,tvshow,40,wahkor,34,411794
261,supachalasai,150,tvshow,4,korea,2,756340
262,supachalasai,136,chalermthai,1,0,0,3294630
263,bangrak,180,siam,89,social,26,3991677
264,sinthorn,891,silom,31,family,17,3471264
265,tvshow,88,korea,78,wahkor,2,977197
266,tvshow,206,wahkor,109,region,105,675550
267,sinthorn,223,mbk,1,0,0,118407
268,blueplanet,279,social,149,korea,94,889672
269,pantip,212,tvshow,75,mbk,38,125
270,supachalasai,271,isolate,30,tvshow,28,2032564
271,rajdumnern,2,siam,1,social,1,92147
272,tvshow,357,region,65,social,31,723519
273,korea,177,tvshow,42,supachalasai,24,4022573
274,tvshow,124,wahkor,118,region,118,494649
275,tvshow,308,writer,12,library,12,103173
276,sinthorn,79,social,4,silom,3,584981
277,supachalasai,55,0,0,0,0,4548495
278,supachalasai,99,tvshow,4,siam,2,868570
279,sinthorn,152,social,7,home,7,1587225
280,isolate,430,korea,110,chalermkrung,107,3648667
281,tvshow,16,silom,2,social,2,562279
282,supachalasai,122,library,11,silom,7,121126
283,tvshow,475,social,45,korea,27,4522676
284,horoscope,86,region,4,silom,2,201014
285,library,413,wahkor,190,rajdumnern,75,3845599
286,tvshow,278,beauty,24,blueplanet,12,224441
287,supachalasai,267,tvshow,125,wahkor,112,557193
288,religious,202,horoscope,103,bangrak,54,220702
289,library,216,social,210,writer,94,1459811
290,supachalasai,295,tvshow,17,library,7,158093
291,supachalasai,445,chalermthai,26,tvshow,12,793413
292,writer,264,library,16,mbk,14,206317
293,wahkor,271,tvshow,165,social,134,687855
294,supachalasai,93,isolate,88,korea,62,1269356
295,klaibann,343,blueplanet,205,tvshow,164,700857
296,supachalasai,135,blueplanet,4,home,2,300273
297,rajdumnern,471,pantip,12,silom,4,4665077
298,korea,177,klaibann,25,siam,25,459386
299,siam,71,bangrak,61,food,51,4484604
300,religious,148,social,90,supachalasai,70,4245657
301,ratchada,134,social,70,food,63,2758802
302,library,210,klaibann,163,blueplanet,82,94252
303,rajdumnern,108,0,0,0,0,4667629
304,jatujak,141,home,19,gallery,6,615445
305,tvshow,561,pantip,24,sinthorn,12,4545683
306,rajdumnern,274,social,40,siam,23,3439983
307,tvshow,64,siam,1,social,1,154027
308,mbk,97,isolate,16,siliconvalley,9,635481
309,jatujak,205,supachalasai,30,isolate,3,875070
310,ratchada,241,social,75,sinthorn,13,300678
311,isolate,365,chalermkrung,60,tvshow,19,4443631
312,korea,218,chalermkrung,9,tvshow,2,4347525
313,siam,52,tvshow,5,supachalasai,2,1248090
314,tvshow,149,region,127,wahkor,125,1693995
315,home,71,food,27,ratchada,26,931503
316,supachalasai,180,tvshow,78,wahkor,30,88374
317,sinthorn,362,social,158,silom,126,4629435
318,rajdumnern,155,0,0,0,0,3412835
319,horoscope,105,wahkor,93,isolate,90,4554163
320,beauty,69,tvshow,60,social,7,372762
321,bangrak,122,siam,103,ratchada,21,1579741
322,rajdumnern,154,theoldsiam,57,chalermkrung,35,4277299
323,supachalasai,103,ratchada,71,beauty,11,868876
324,supachalasai,107,tvshow,55,chalermthai,35,3645864
325,siliconvalley,185,library,70,siam,66,2030166
326,sinthorn,966,silom,116,blueplanet,72,1036
327,supachalasai,367,tvshow,4,gadget,1,3448265
328,tvshow,142,supachalasai,107,chalermthai,33,186396
329,isolate,273,chalermkrung,82,social,78,2881936
330,0,0,0,0,0,0,562056
331,horoscope,412,bangrak,40,siam,18,3772386
332,tvshow,288,korea,7,social,5,4635935
333,religious,216,social,41,horoscope,25,4114431
334,sinthorn,663,silom,57,social,47,478644
335,bangrak,178,siam,80,siliconvalley,46,4330
336,siam,45,bangrak,44,social,34,4097590
337,sinthorn,147,tvshow,3,chalermthai,1,984124
338,wahkor,373,siam,84,library,62,2653323
339,camera,114,blueplanet,85,gallery,48,547877
340,silom,219,social,102,bangrak,52,3108349
341,siliconvalley,204,social,64,cartoon,59,4664259
342,isolate,75,chalermkrung,17,tvshow,2,3278572
343,tvshow,197,bangrak,18,social,10,1103897
344,korea,350,pantip,7,chalermkrung,5,1524498
345,bangrak,56,family,2,0,0,261266
346,tvshow,228,isolate,77,siliconvalley,26,2983274
347,library,165,jatujak,110,blueplanet,89,3389497
348,sinthorn,71,supachalasai,2,social,2,213602
349,isolate,221,cartoon,3,library,1,4196075
350,isolate,239,chalermkrung,28,region,10,88052
351,siliconvalley,75,wahkor,44,family,25,1175264
352,tvshow,396,social,29,korea,28,941931
353,supachalasai,177,social,34,tvshow,24,4329662
354,supachalasai,169,tvshow,67,chalermkrung,3,214623
355,tvshow,124,food,20,lumpini,6,140578
356,supachalasai,282,tvshow,4,siliconvalley,1,4597786
357,supachalasai,150,0,0,0,0,1367653
358,social,136,siam,85,bangrak,83,678894
359,supachalasai,273,chalermthai,12,cartoon,8,4458526
360,religious,189,library,19,horoscope,11,82397
361,tvshow,136,chalermthai,92,cartoon,55,4666666
362,supachalasai,249,social,109,tvshow,78,163227
363,isolate,117,chalermkrung,108,korea,32,4618454
364,isolate,127,supachalasai,50,cartoon,46,92492
365,supachalasai,288,food,48,tvshow,25,723341
366,writer,229,library,35,chalermkrung,4,178240
367,jatujak,181,writer,19,home,4,223565
368,library,137,siam,40,region,15,2699425
369,sinthorn,171,supachalasai,22,siam,7,3849221
370,rajdumnern,253,food,3,social,3,4077727
371,isolate,86,chalermkrung,18,silom,2,4363972
372,supachalasai,130,tvshow,12,chalermthai,5,92183
373,isolate,356,chalermkrung,72,tvshow,14,226599
374,isolate,105,korea,73,tvshow,54,592409
375,home,99,social,98,siliconvalley,33,110603
376,rajdumnern,168,social,1,chalermthai,1,2066990
377,bangrak,175,siam,89,tvshow,22,4189558
378,supachalasai,359,tvshow,56,social,37,3982280
379,supachalasai,153,tvshow,52,siliconvalley,14,157947
380,bangrak,68,siam,61,social,37,4593721
381,sinthorn,471,silom,99,social,96,373274
382,sinthorn,220,social,8,rajdumnern,5,420712
383,sinthorn,339,ratchada,5,mbk,1,2237425
384,siam,131,bangrak,111,social,36,2608132
385,siliconvalley,112,wahkor,69,siam,23,145305
386,isolate,197,tvshow,111,chalermkrung,79,4017442
387,library,49,social,44,siam,37,4603887
388,tvshow,128,food,12,blueplanet,11,633415
389,tvshow,152,sinthorn,78,beauty,8,670717
390,horoscope,57,social,23,food,17,1087315
391,isolate,543,chalermkrung,123,cartoon,18,1044962
392,isolate,389,chalermkrung,68,chalermthai,6,4607996
393,klaibann,213,blueplanet,116,library,44,415314
394,tvshow,7,0,0,0,0,196795
395,sinthorn,180,social,61,silom,10,4463026
396,sinthorn,208,ratchada,37,silom,9,1210422
