,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore
15724,245861,0,133,5.0,4,3,1,431
15726,291867,2,42,7.6000000000000005,2,2,2,222
15741,1072000,0,354,8.600000000000001,4,4,2,442
15751,147432,1,47,4.800000000000001,2,2,1,221
15754,4109403,2,220,5.0,2,4,1,241
15755,291605,0,64,4.2,4,2,1,421
15759,625487,1,80,13.200000000000001,2,3,3,233
15761,2920054,0,61,5.0,4,2,1,421
15764,1068251,2,57,6.0,2,2,2,222
15767,147911,0,67,5.6000000000000005,4,2,1,421
15770,292282,2,33,7.2,2,1,2,212
15781,625116,0,136,6.0,4,3,2,432
15782,245239,2,89,10.0,2,3,3,233
15784,625051,0,98,7.6000000000000005,4,3,2,432
15791,146988,1,46,8.0,2,2,2,222
15794,2915791,0,60,5.4,4,2,1,421
15802,1069283,0,46,10.0,4,2,3,423
15819,147013,0,40,6.6000000000000005,4,1,2,412
15822,2918561,2,45,7.2,2,2,2,222
15831,188011,5,12,5.0,1,1,1,111
15836,2947357,4,61,5.6000000000000005,1,2,1,121
15866,1053343,0,97,5.6000000000000005,4,3,1,431
15873,144813,0,43,4.4,4,2,1,421
15878,1110434,1,109,59.0,2,3,4,234
15879,2848086,5,47,5.2,1,2,1,121
15881,294521,0,88,5.0,4,3,1,431
15889,635733,1,35,7.6000000000000005,2,1,2,212
15892,188053,0,29,5.800000000000001,4,1,1,411
15895,612340,0,98,6.6000000000000005,4,3,2,432
15907,612499,2,24,4.6,2,1,1,211
15908,1117840,0,127,10.600000000000001,4,3,3,433
15913,637346,1,99,4.4,2,3,1,231
15924,1120006,0,168,7.4,4,4,2,442
15934,247098,0,182,11.0,4,4,3,443
15940,144288,3,51,4.4,1,2,1,121
15943,4195193,1,60,5.800000000000001,2,2,1,221
15944,613213,4,11,4.4,1,1,1,111
15952,2837965,1,110,9.6,2,3,3,233
15955,636982,0,53,5.0,4,2,1,421
15961,635514,0,82,6.800000000000001,4,3,2,432
15970,1100572,2,91,8.600000000000001,2,3,2,232
15985,4170895,0,224,12.200000000000001,4,4,3,443
15987,1102273,0,117,4.4,4,3,1,431
15997,4168205,0,103,4.6,4,3,1,431
15998,4167993,0,99,4.2,4,3,1,431
16008,145328,0,80,5.0,4,3,1,431
16012,1097789,1,74,4.800000000000001,2,2,1,221
16017,145289,2,129,7.4,2,3,2,232
16022,1099044,0,183,5.800000000000001,4,4,1,441
16032,294370,0,57,5.4,4,2,1,421
16048,4180284,0,58,4.6,4,2,1,421
16065,4178935,0,138,4.6,4,3,1,431
16085,246947,0,45,5.2,4,2,1,421
16116,4365738,0,126,8.8,4,3,2,432
16120,2630996,0,48,6.800000000000001,4,2,2,422
16129,1247310,0,78,5.4,4,2,1,421
16130,4369382,0,81,9.0,4,3,2,432
16132,1247405,0,112,7.2,4,3,2,432
16138,2637458,1,79,5.2,2,3,1,231
16146,3958289,1,30,5.0,2,1,1,211
16148,1240880,0,17,9.200000000000001,4,1,3,413
16158,4363846,0,51,4.4,4,2,1,421
16161,991658,0,74,11.200000000000001,4,2,3,423
16170,659230,0,324,38.4,4,4,4,444
16172,236965,5,67,5.4,1,2,1,121
16186,660047,0,91,7.2,4,3,2,432
16192,4377103,0,53,4.4,4,2,1,421
16203,660425,0,169,12.600000000000001,4,4,3,443
16213,569588,0,40,28.400000000000002,4,1,4,414
16219,250909,2,49,18.0,2,2,4,224
16227,122721,0,158,7.4,4,4,2,442
16236,1251701,0,212,11.0,4,4,3,443
16241,1232500,1,5,6.0,2,1,2,212
16243,2653437,0,151,4.6,4,4,1,441
16259,656515,0,46,5.6000000000000005,4,2,1,421
16265,575530,2,122,8.0,2,3,2,232
16269,996881,1,22,7.2,2,1,2,212
16274,302735,1,94,38.6,2,3,4,234
16275,286069,1,44,5.6000000000000005,2,2,1,221
16276,577134,1,66,7.2,2,2,2,222
16291,250357,0,135,9.0,4,3,2,432
16308,575244,0,12,5.4,4,1,1,411
16311,303351,0,80,13.0,4,3,3,433
16323,573675,5,70,8.4,1,2,2,122
16344,2644992,2,78,10.8,2,2,3,223
16363,237596,0,95,9.8,4,3,3,433
16373,573951,0,226,7.4,4,4,2,442
16378,567562,2,77,7.4,2,2,2,222
16382,663174,0,184,10.8,4,4,3,443
16393,980028,0,235,16.0,4,4,3,443
16406,1274326,0,109,22.0,4,3,4,434
16439,561763,5,79,6.6000000000000005,1,3,2,132
16456,3929606,0,197,6.800000000000001,4,4,2,442
16465,975877,0,102,5.0,4,3,1,431
16470,306728,1,151,7.800000000000001,2,4,2,242
16472,1282426,0,141,4.4,4,3,1,431
16486,1275868,2,129,14.600000000000001,2,3,3,233
16489,4401094,1,106,9.200000000000001,2,3,3,233
16498,2586624,3,13,8.8,1,1,2,112
16500,1277486,2,71,6.4,2,2,2,222
16502,559027,1,124,5.4,2,3,1,231
16505,558914,0,68,5.0,4,2,1,421
16523,1258583,5,56,12.8,1,2,3,123
16535,565728,2,52,20.400000000000002,2,2,4,224
16536,305377,0,81,4.2,4,3,1,431
16544,3940966,4,76,5.6000000000000005,1,2,1,121
16547,661568,0,54,5.6000000000000005,4,2,1,421
16556,4379696,0,69,4.2,4,2,1,421
16558,567336,1,84,7.2,2,3,2,232
16568,2614423,2,32,4.2,2,1,1,211
16585,4392839,1,80,8.2,2,3,2,232
16597,563967,2,45,12.4,2,2,3,223
16603,4391509,0,118,7.800000000000001,4,3,2,432
16607,1265763,4,45,5.0,1,2,1,121
16608,981252,0,35,5.6000000000000005,4,1,1,411
16615,662461,0,113,9.4,4,3,3,433
16616,562969,2,120,4.6,2,3,1,231
16646,1263515,0,167,6.2,4,4,2,442
16649,564237,0,28,4.800000000000001,4,1,1,411
16666,300052,0,135,5.2,4,3,1,431
16675,287343,1,57,4.4,2,2,1,221
16691,191190,0,57,4.4,4,2,1,421
16692,3009217,0,43,4.2,4,2,1,421
16693,590611,5,86,4.800000000000001,1,3,1,131
16695,4012892,0,23,6.2,4,1,2,412
16699,183524,0,50,4.800000000000001,4,2,1,421
16704,3011044,4,33,5.4,1,1,1,111
16707,4012105,1,22,17.2,2,1,3,213
16740,1201109,1,61,5.0,2,2,1,221
16754,300719,0,50,7.6000000000000005,4,2,2,422
16759,588143,0,166,4.2,4,4,1,441
16802,1180808,0,124,6.800000000000001,4,3,2,432
16811,299154,0,72,4.2,4,2,1,421
16822,593126,0,113,23.8,4,3,4,434
16831,288271,2,68,11.0,2,2,3,223
16880,1015023,0,160,12.0,4,4,3,443
16882,591131,0,81,31.6,4,3,4,434
16886,1188879,0,133,11.4,4,3,3,433
16909,1184099,0,52,9.8,4,2,3,423
16913,591995,2,109,11.4,2,3,3,233
16915,3005593,0,186,11.4,4,4,3,443
16916,592297,0,66,11.600000000000001,4,2,3,423
16917,4290277,2,95,5.800000000000001,2,3,1,231
16921,299661,0,187,6.2,4,4,2,442
16942,126745,0,112,4.800000000000001,4,3,1,431
16945,580999,0,115,8.8,4,3,2,432
16948,2675228,2,65,6.6000000000000005,2,2,2,222
16956,1221151,0,88,6.800000000000001,4,3,2,432
