,mid,Recency,Frequency,Engagement,R_Quartile,F_Quartile,E_Quartile,RFEScore,Segment
5530,236160,1,160,9.8,2,4,3,243,Almost lost user
5531,268392,1,17,10.2,2,1,3,213,Almost lost user
5532,753312,4,5,6.2,1,1,2,112,Lost user
5533,1273670,0,47,6.8,4,2,2,422,others
5534,749165,0,56,8.0,4,2,2,422,others
5535,748964,0,27,5.8,4,1,1,411,others
5536,1277367,0,47,5.6,4,2,1,421,others
5537,719939,4,21,5.0,1,1,1,111,Lost user
5538,718753,2,56,8.0,2,2,2,222,Almost lost user
5539,794586,0,97,6.6,4,3,2,432,others
5540,1403070,2,52,5.6,2,2,1,221,Almost lost user
5541,1387682,0,54,5.8,4,2,1,421,others
5542,700128,0,14,5.0,4,1,1,411,others
5543,230800,0,143,10.2,4,4,3,443,Loyal user
5544,1389496,1,38,5.8,2,1,1,211,Almost lost user
5545,1390572,3,6,5.4,1,1,1,111,Lost user
5546,1391567,6,4,5.0,1,1,1,111,Lost user
5547,277769,2,55,20.6,2,2,4,224,Almost lost user
5548,1392452,1,34,5.2,2,1,1,211,Almost lost user
5549,691756,4,93,12.0,1,3,3,133,Lost user
5550,1393779,0,83,13.6,4,3,3,433,others
5551,689380,0,143,15.4,4,4,3,443,Loyal user
5552,4671353,1,132,5.4,2,3,1,231,Almost lost user
5553,1334313,1,63,7.4,2,2,2,222,Almost lost user
5554,687819,0,46,5.6,4,2,1,421,others
5555,687329,6,21,6.0,1,1,2,112,Lost user
5556,1411103,0,6,5.0,4,1,1,411,others
5557,687251,2,20,6.6,2,1,2,212,Almost lost user
5558,684795,4,81,6.8,1,3,2,132,Lost user
5559,683176,0,90,6.8,4,3,2,432,others
5560,4671900,0,52,5.6,4,2,1,421,others
5561,1416817,0,157,13.0,4,4,3,443,Loyal user
5562,229787,5,35,6.0,1,1,2,112,Lost user
5563,680062,0,135,7.800000000000001,4,3,2,432,others
5564,679593,0,26,6.4,4,1,2,412,others
5565,1383827,1,28,5.4,2,1,1,211,Almost lost user
5566,1377611,0,102,5.6,4,3,1,431,others
5567,231308,5,30,5.2,1,1,1,111,Lost user
5568,277508,0,192,10.0,4,4,3,443,Loyal user
5569,715476,0,67,11.600000000000001,4,2,3,423,others
5570,715249,2,119,8.6,2,3,2,232,Almost lost user
5571,1337638,2,24,5.8,2,1,1,211,Almost lost user
5572,1340260,0,33,5.2,4,1,1,411,others
5573,1340525,0,343,24.0,4,4,4,444,Best user
5574,1344534,3,4,5.0,1,1,1,111,Lost user
5575,714640,0,87,5.4,4,3,1,431,others
5576,712367,0,25,8.6,4,1,2,412,others
5577,711176,3,56,7.6,1,2,2,122,Lost user
5578,232485,0,69,6.6,4,2,2,422,others
5579,708152,4,9,5.0,1,1,1,111,Lost user
5580,1347682,0,103,5.6,4,3,1,431,others
5581,1355793,0,47,6.4,4,2,2,422,others
5582,232254,0,36,5.6,4,1,1,411,others
5583,705781,2,40,6.2,2,1,2,212,Almost lost user
5584,705121,0,53,5.8,4,2,1,421,others
5585,4667789,5,44,5.2,1,2,1,121,Lost user
5586,705043,0,72,6.0,4,2,2,422,others
5587,1360925,0,63,6.0,4,2,2,422,others
5588,704531,0,20,5.8,4,1,1,411,others
5589,231736,1,82,6.0,2,3,2,232,Almost lost user
5590,703771,0,19,5.0,4,1,1,411,others
5591,703033,2,41,10.0,2,2,3,223,Almost lost user
5592,790828,0,20,7.2,4,1,2,412,others
5593,264564,0,40,5.6,4,1,1,411,others
5594,497670,1,45,8.4,2,2,2,222,Almost lost user
5595,253388,1,92,6.8,2,3,2,232,Almost lost user
5596,245353,0,232,8.2,4,4,2,442,Loyal user
5597,955268,0,23,5.4,4,1,1,411,others
5598,953191,5,65,7.4,1,2,2,122,Lost user
5599,4669074,5,9,5.2,1,1,1,111,Lost user
5600,4668552,1,15,5.0,2,1,1,211,Almost lost user
5601,1090195,0,98,10.4,4,3,3,433,others
5602,4669082,5,11,5.0,1,1,1,111,Lost user
5603,26200,0,55,6.8,4,2,2,422,others
5604,244477,4,33,5.0,1,1,1,111,Lost user
5605,29031,0,194,14.200000000000001,4,4,3,443,Loyal user
5606,946399,1,22,5.8,2,1,1,211,Almost lost user
5607,253627,1,61,29.6,2,2,4,224,Almost lost user
5608,1117102,0,51,6.8,4,2,2,422,others
5609,940926,1,36,6.4,2,1,2,212,Almost lost user
5610,1103236,0,224,7.2,4,4,2,442,Loyal user
5611,930667,1,99,10.0,2,3,3,233,Almost lost user
5612,25480,5,10,5.4,1,1,1,111,Lost user
5613,926316,6,24,5.6,1,1,1,111,Lost user
5614,925916,4,72,8.6,1,2,2,122,Lost user
5615,4669232,4,65,6.2,1,2,2,122,Lost user
5616,914179,1,39,7.0,2,1,2,212,Almost lost user
5617,1112713,0,135,21.0,4,3,4,434,Big contributor
5618,905697,2,138,11.600000000000001,2,3,3,233,Almost lost user
5619,901014,0,197,15.200000000000001,4,4,3,443,Loyal user
5620,245374,0,51,6.6,4,2,2,422,others
5621,956759,0,66,8.0,4,2,2,422,others
5622,960904,3,29,5.0,1,1,1,111,Lost user
5623,245583,2,205,14.200000000000001,2,4,3,243,Almost lost user
5624,1025619,4,34,6.6,1,1,2,112,Lost user
5625,1024882,6,21,5.0,1,1,1,111,Lost user
5626,28438,5,12,5.0,1,1,1,111,Lost user
5627,247346,0,69,9.8,4,2,3,423,others
5628,1024324,0,119,5.2,4,3,1,431,others
5629,1024015,1,16,5.0,2,1,1,211,Almost lost user
5630,1051885,0,73,6.2,4,2,2,422,others
5631,4668730,1,48,5.4,2,2,1,221,Almost lost user
5632,1021234,3,22,5.6,1,1,1,111,Lost user
5633,1060181,0,85,21.0,4,3,4,434,Big contributor
5634,1015030,0,138,13.200000000000001,4,3,3,433,others
5635,249617,2,23,10.0,2,1,3,213,Almost lost user
5636,1063708,1,17,5.2,2,1,1,211,Almost lost user
5637,1006820,0,56,6.6,4,2,2,422,others
